v(v_in),v(out),v(c1),v(c2),v(tail)
3.160000000000002252e-01,5.012999832897909222e-08,4.999999907458380299e+00,3.137282227904264253e+00,1.868893565675118884e+00
3.180000000000002269e-01,5.012999832903491699e-08,4.999999907467779892e+00,3.137282227916627253e+00,1.868893565675304735e+00
3.200000000000002287e-01,5.012999832909078808e-08,4.999999907477179484e+00,3.137282227936550427e+00,1.868893565675587842e+00
3.220000000000002305e-01,5.012999832914663931e-08,4.999999907486579964e+00,3.137282227926745382e+00,1.868893565675460167e+00
3.240000000000002323e-01,5.012999832920246408e-08,4.999999907495980445e+00,3.137282227941666335e+00,1.868893565675656010e+00
3.260000000000002340e-01,5.012999832925832855e-08,4.999999907505379149e+00,3.137282227959116820e+00,1.868893565675918689e+00
3.280000000000002358e-01,5.012999832931417316e-08,4.999999907514780517e+00,3.137282227947890689e+00,1.868893565675771251e+00
3.300000000000002376e-01,5.012999832937002440e-08,4.999999907524180109e+00,3.137282227982393756e+00,1.868893565676242430e+00
3.320000000000002394e-01,5.012999832942587563e-08,4.999999907533580590e+00,3.137282227975600968e+00,1.868893565676180257e+00
3.340000000000002411e-01,5.012999832948171363e-08,4.999999907542979294e+00,3.137282227964119041e+00,1.868893565676000179e+00
3.360000000000002429e-01,5.012999832953755825e-08,4.999999907552379774e+00,3.137282227987822303e+00,1.868893565676326585e+00
3.380000000000002447e-01,5.012999832959340949e-08,4.999999907561780255e+00,3.137282228002657991e+00,1.868893565676563062e+00
3.400000000000002465e-01,5.012999832964928057e-08,4.999999907571180735e+00,3.137282228027697073e+00,1.868893565676922108e+00
3.420000000000002482e-01,5.012999832970511195e-08,4.999999907580579439e+00,3.137282228009024454e+00,1.868893565676672308e+00
3.440000000000002500e-01,5.012999832976097642e-08,4.999999907589979031e+00,3.137282228029089737e+00,1.868893565676930546e+00
3.460000000000002518e-01,5.012999832981680781e-08,4.999999907599379512e+00,3.137282228031448739e+00,1.868893565676987834e+00
3.480000000000002536e-01,5.012999832987265904e-08,4.999999907608779992e+00,3.137282228037303167e+00,1.868893565677066215e+00
3.500000000000002554e-01,5.012999832992853013e-08,4.999999907618179584e+00,3.137282228073256185e+00,1.868893565677579360e+00
3.520000000000002571e-01,5.012999832998436151e-08,4.999999907627580065e+00,3.137282228031846643e+00,1.868893565677022695e+00
3.540000000000002589e-01,5.012999833004020613e-08,4.999999907636980545e+00,3.137282228083743352e+00,1.868893565677706592e+00
3.560000000000002607e-01,5.012999833009605075e-08,4.999999907646378361e+00,3.137282228100739090e+00,1.868893565678007684e+00
3.580000000000002625e-01,5.012999833015192183e-08,4.999999907655779730e+00,3.137282228100142234e+00,1.868893565677997248e+00
3.600000000000002642e-01,5.012999833020775322e-08,4.999999907665180210e+00,3.137282228112363569e+00,1.868893565678160229e+00
3.620000000000002660e-01,5.012999833026362430e-08,4.999999907674579802e+00,3.137282228126687667e+00,1.868893565678374502e+00
3.640000000000002678e-01,5.012999833031945569e-08,4.999999907683979394e+00,3.137282228101875958e+00,1.868893565678030111e+00
3.660000000000002696e-01,5.012999833037530692e-08,4.999999907693379875e+00,3.137282228111539339e+00,1.868893565678140023e+00
3.680000000000002713e-01,5.012999833043115816e-08,4.999999907702778579e+00,3.137282228126346606e+00,1.868893565678367175e+00
3.700000000000002731e-01,5.012999833048700939e-08,4.999999907712179947e+00,3.137282228148316143e+00,1.868893565678689805e+00
3.720000000000002749e-01,5.012999833054286063e-08,4.999999907721579540e+00,3.137282228164686604e+00,1.868893565678936053e+00
3.740000000000002767e-01,5.012999833059871186e-08,4.999999907730979132e+00,3.137282228160451769e+00,1.868893565678880986e+00
3.760000000000002784e-01,5.012999833065455648e-08,4.999999907740380500e+00,3.137282228167159293e+00,1.868893565678965585e+00
3.780000000000002802e-01,5.012999833071039448e-08,4.999999907749780093e+00,3.137282228185434008e+00,1.868893565679230040e+00
3.800000000000002820e-01,5.012999833076623910e-08,4.999999907759177908e+00,3.137282228184382404e+00,1.868893565679230484e+00
3.820000000000002838e-01,5.012999833082209695e-08,4.999999907768578389e+00,3.137282228207460388e+00,1.868893565679549340e+00
3.840000000000002855e-01,5.012999833087794157e-08,4.999999907777978869e+00,3.137282228196518474e+00,1.868893565679413893e+00
3.860000000000002873e-01,5.012999833093379942e-08,4.999999907787378461e+00,3.137282228205584556e+00,1.868893565679524471e+00
3.880000000000002891e-01,5.012999833098963742e-08,4.999999907796778054e+00,3.137282228218175373e+00,1.868893565679713875e+00
