time,v(v_in),v(out)
3.505000000000124498e-05,2.300000000000000266e+00,3.393896543994133599e-05
3.505500000000124239e-05,2.300000000000000266e+00,3.305672233975052418e-05
3.506000000000123980e-05,2.300000000000000266e+00,3.219744320897319456e-05
3.506500000000123721e-05,2.300000000000000266e+00,3.136053061406885546e-05
3.507000000000123463e-05,2.300000000000000266e+00,3.054540261358981262e-05
3.507500000000123204e-05,2.300000000000000266e+00,2.975149235906964602e-05
3.508000000000122945e-05,2.300000000000000266e+00,2.897824771947608228e-05
3.508500000000122686e-05,2.300000000000000266e+00,2.822513086463221556e-05
3.509000000000122427e-05,2.300000000000000266e+00,2.749161796546873890e-05
3.509500000000122168e-05,2.300000000000000266e+00,2.677719880485852585e-05
3.510000000000121909e-05,2.300000000000000266e+00,2.608137649941173874e-05
3.510500000000121650e-05,2.300000000000000266e+00,2.540366714137378516e-05
3.511000000000121391e-05,2.300000000000000266e+00,2.474359935975813392e-05
3.511500000000121133e-05,2.300000000000000266e+00,2.410071403862091731e-05
3.512000000000120874e-05,2.300000000000000266e+00,2.347456403423189334e-05
3.512500000000120615e-05,2.300000000000000266e+00,2.286471382411870402e-05
3.513000000000120356e-05,2.300000000000000266e+00,2.227073918853385387e-05
3.513500000000120097e-05,2.300000000000000266e+00,2.169222690404544733e-05
3.514000000000119838e-05,2.300000000000000266e+00,2.112877451284387936e-05
3.514500000000119579e-05,2.300000000000000266e+00,2.057999007609106907e-05
3.515000000000119320e-05,2.300000000000000266e+00,2.004549181817204969e-05
3.515500000000119061e-05,2.300000000000000266e+00,1.952490785100570035e-05
3.516000000000118802e-05,2.300000000000000266e+00,1.901787604129798648e-05
3.516500000000118544e-05,2.300000000000000266e+00,1.852404373503351281e-05
3.517000000000118285e-05,2.300000000000000266e+00,1.804306731992530961e-05
3.517500000000118026e-05,2.300000000000000266e+00,1.757461212003405429e-05
3.518000000000117767e-05,2.300000000000000266e+00,1.711835235024418734e-05
3.518500000000117508e-05,2.300000000000000266e+00,1.667397072508826120e-05
3.519000000000117249e-05,2.300000000000000266e+00,1.624115801195278488e-05
3.519500000000116990e-05,2.300000000000000266e+00,1.581961293007723269e-05
3.520000000000116731e-05,2.300000000000000266e+00,1.540904221021858087e-05
3.520500000000116472e-05,2.300000000000000266e+00,1.500916028576720268e-05
3.521000000000116213e-05,2.300000000000000266e+00,1.461968890390946018e-05
3.521500000000115955e-05,2.300000000000000266e+00,1.424035702744898435e-05
3.522000000000115696e-05,2.300000000000000266e+00,1.387090070930516942e-05
3.522500000000115437e-05,2.300000000000000266e+00,1.351106287791180389e-05
3.523000000000115178e-05,2.300000000000000266e+00,1.316059313557163461e-05
3.523500000000114919e-05,2.300000000000000266e+00,1.281924763814932114e-05
3.524000000000114660e-05,2.300000000000000266e+00,1.248678884861502281e-05
3.524500000000114401e-05,2.300000000000000266e+00,1.216298535020431436e-05
3.525000000000114142e-05,2.300000000000000266e+00,1.184761186977789096e-05
3.525500000000113883e-05,2.300000000000000266e+00,1.154044907103853692e-05
3.526000000000113624e-05,2.300000000000000266e+00,1.124128330715366952e-05
3.526500000000113366e-05,2.300000000000000266e+00,1.094990644975056264e-05
3.527000000000113107e-05,2.300000000000000266e+00,1.066611571853949973e-05
3.527500000000112848e-05,2.300000000000000266e+00,1.038971350837598872e-05
3.528000000000112589e-05,2.300000000000000266e+00,1.012050732262901345e-05
3.528500000000112330e-05,2.300000000000000266e+00,9.858309823099190811e-06
3.529000000000112071e-05,2.300000000000000266e+00,9.602938646399156441e-06
3.529500000000111812e-05,2.300000000000000266e+00,9.354216106747931711e-06
3.530000000000111553e-05,2.300000000000000266e+00,9.111969105808416942e-06
3.530500000000111294e-05,2.300000000000000266e+00,8.876029055491383571e-06
3.531000000000111036e-05,2.300000000000000266e+00,8.646231833038579040e-06
3.531500000000110777e-05,2.300000000000000266e+00,8.422417623419604143e-06
3.532000000000110518e-05,2.300000000000000266e+00,8.204430642766907594e-06
3.532500000000110259e-05,2.300000000000000266e+00,7.992119092026597161e-06
3.533000000000110000e-05,2.300000000000000266e+00,7.785335241364622338e-06
3.533500000000109741e-05,2.300000000000000266e+00,7.583935219371320075e-06
3.534000000000109482e-05,2.300000000000000266e+00,7.387778784203871439e-06
3.534500000000109223e-05,2.300000000000000266e+00,7.196729392936828559e-06
3.535000000000108964e-05,2.300000000000000266e+00,7.010654202652294305e-06
3.535500000000108705e-05,2.300000000000000266e+00,6.829423739983332436e-06
3.536000000000108447e-05,2.300000000000000266e+00,6.652911811547254474e-06
3.536500000000108188e-05,2.300000000000000266e+00,6.480995607948363629e-06
3.537000000000107929e-05,2.300000000000000266e+00,6.313555478450680461e-06
3.537500000000107670e-05,2.300000000000000266e+00,6.150474755268935323e-06
3.538000000000107411e-05,2.300000000000000266e+00,5.991639878518823321e-06
3.538500000000107152e-05,2.300000000000000266e+00,5.836940449835495143e-06
3.539000000000106893e-05,2.300000000000000266e+00,5.686268847043984147e-06
3.539500000000106634e-05,2.300000000000000266e+00,5.539520124338878204e-06
3.540000000000106375e-05,2.300000000000000266e+00,5.396592245616973567e-06
3.540500000000106116e-05,2.300000000000000266e+00,5.257385872002591335e-06
3.541000000000105858e-05,2.300000000000000266e+00,5.121804043405482486e-06
3.541500000000105599e-05,2.300000000000000266e+00,4.989752226281930878e-06
3.542000000000105340e-05,2.300000000000000266e+00,4.861138448498131242e-06
3.542500000000105081e-05,2.300000000000000266e+00,4.735873247335527420e-06
3.543000000000104822e-05,2.300000000000000266e+00,4.613869501066444862e-06
3.543500000000104563e-05,2.300000000000000266e+00,4.495042281252958460e-06
3.544000000000104304e-05,2.300000000000000266e+00,4.379308852374397108e-06
3.544500000000104045e-05,2.300000000000000266e+00,4.266588749556197090e-06
3.545000000000103786e-05,2.300000000000000266e+00,4.156803581154752839e-06
3.545500000000103528e-05,2.300000000000000266e+00,4.049876811022794316e-06
3.546000000000103269e-05,2.300000000000000266e+00,3.945733929012286127e-06
3.546500000000103010e-05,2.300000000000000266e+00,3.844302543093449115e-06
3.547000000000102751e-05,2.300000000000000266e+00,3.745512168899725659e-06
3.547500000000102492e-05,2.300000000000000266e+00,3.649294089369417742e-06
3.548000000000102233e-05,2.300000000000000266e+00,3.555581375565524284e-06
3.548500000000101974e-05,2.300000000000000266e+00,3.464308799765073047e-06
3.549000000000101715e-05,2.300000000000000266e+00,3.375412764888254271e-06
3.549500000000101456e-05,2.300000000000000266e+00,3.288831271803487620e-06
3.550000000000101197e-05,2.300000000000000266e+00,3.204503996239327119e-06
3.550500000000100939e-05,2.300000000000000266e+00,3.122372300167689076e-06
3.551000000000100680e-05,2.300000000000000266e+00,3.042379020620678640e-06
3.551500000000100421e-05,2.300000000000000266e+00,2.964468398762582155e-06
3.552000000000100162e-05,2.300000000000000266e+00,2.888586204796058611e-06
3.552500000000099903e-05,2.300000000000000266e+00,2.814679758145131443e-06
3.553000000000099644e-05,2.300000000000000266e+00,2.742697762820036892e-06
3.553500000000099385e-05,2.300000000000000266e+00,2.672590144662312715e-06
3.554000000000099126e-05,2.300000000000000266e+00,2.604308041741778561e-06
3.554500000000098867e-05,2.300000000000000266e+00,2.537803862235664796e-06
3.555000000000098608e-05,2.300000000000000266e+00,2.473031183773280108e-06
3.555500000000098350e-05,2.300000000000000266e+00,2.409944778834320690e-06
3.556000000000098091e-05,2.300000000000000266e+00,2.348500833886888385e-06
3.556500000000097832e-05,2.300000000000000266e+00,2.288656784063541594e-06
3.557000000000097573e-05,2.300000000000000266e+00,2.230371040120252255e-06
3.557500000000097314e-05,2.300000000000000266e+00,2.173602919425146095e-06
3.558000000000097055e-05,2.300000000000000266e+00,2.118312824932716306e-06
3.558500000000096796e-05,2.300000000000000266e+00,2.064462353006534446e-06
3.559000000000096537e-05,2.300000000000000266e+00,2.012014048129742255e-06
3.559500000000096278e-05,2.300000000000000266e+00,1.960931307995345769e-06
3.560000000000096019e-05,2.300000000000000266e+00,1.911178531381350495e-06
3.560500000000095761e-05,2.300000000000000266e+00,1.862721206821467190e-06
3.561000000000095502e-05,2.300000000000000266e+00,1.815525743736319516e-06
3.561500000000095243e-05,2.300000000000000266e+00,1.769559205940849786e-06
3.562000000000094984e-05,2.300000000000000266e+00,1.724789367812894404e-06
3.562500000000094725e-05,2.300000000000000266e+00,1.681185044545514050e-06
3.563000000000094466e-05,2.300000000000000266e+00,1.638716054014780174e-06
3.563500000000094207e-05,2.300000000000000266e+00,1.597352875588449028e-06
3.564000000000093948e-05,2.300000000000000266e+00,1.557066669328767573e-06
3.564500000000093689e-05,2.300000000000000266e+00,1.517829376142241124e-06
3.565000000000093431e-05,2.300000000000000266e+00,1.479613675865650456e-06
3.565500000000093172e-05,2.300000000000000266e+00,1.442392964263669543e-06
3.566000000000092913e-05,2.300000000000000266e+00,1.406141425950161324e-06
3.566500000000092654e-05,2.300000000000000266e+00,1.370833923850224981e-06
3.567000000000092395e-05,2.300000000000000266e+00,1.336445843592446807e-06
3.567500000000092136e-05,2.300000000000000266e+00,1.302953225689516480e-06
3.568000000000091877e-05,2.300000000000000266e+00,1.270332775959135562e-06
3.568500000000091618e-05,2.300000000000000266e+00,1.238561706456902160e-06
3.569000000000091359e-05,2.300000000000000266e+00,1.207617789529964305e-06
3.569500000000091100e-05,2.300000000000000266e+00,1.177479530911235525e-06
3.570000000000090842e-05,2.300000000000000266e+00,1.148126038622008771e-06
3.570500000000090583e-05,2.300000000000000266e+00,1.119536835491289630e-06
3.571000000000090324e-05,2.300000000000000266e+00,1.091691986045305471e-06
3.571500000000090065e-05,2.300000000000000266e+00,1.064572135843467122e-06
3.572000000000089806e-05,2.300000000000000266e+00,1.038158303652100079e-06
3.572500000000089547e-05,2.300000000000000266e+00,1.012432091325631317e-06
3.573000000000089288e-05,2.300000000000000266e+00,9.873757534321577886e-07
