time,v(v_in),v(out),v(c1),v(c2)
2.550008981599898028e-03,1.881858670182025683e+00,2.150586035833054310e-03,4.999703989994514153e+00,3.136843734545499363e+00
2.551008981599898161e-03,1.869919840899805230e+00,-2.000082903645869319e-03,5.000039263353899699e+00,3.136835615300051838e+00
2.552008981599898294e-03,1.858005886103402560e+00,1.860652709541319545e-03,4.999696016021112577e+00,3.136850142786186346e+00
2.553008981599898426e-03,1.846117276135339935e+00,-1.730605169286629280e-03,5.000047366116189274e+00,3.136842078869751749e+00
2.554008981599898559e-03,1.834254480337595972e+00,1.610124114792359099e-03,4.999691007788342745e+00,3.136856349263702715e+00
2.555008981599898692e-03,1.822417967033028940e+00,-1.497738260746331188e-03,5.000052783513328158e+00,3.136848396403886241e+00
2.556008981599898824e-03,1.810608203506910652e+00,1.393625746427684317e-03,4.999688460015004665e+00,3.136862372286456146e+00
2.557008981599898957e-03,1.798825655988496752e+00,-1.296490351128828022e-03,5.000055984466366787e+00,3.136854578375831260e+00
2.558008981599899090e-03,1.787070789632574819e+00,1.206517403447316186e-03,4.999687942711673827e+00,3.136868228430415240e+00
2.559008981599899223e-03,1.775344068501161443e+00,-1.122551335492257734e-03,5.000057367455799984e+00,3.136860634369069256e+00
2.560008981599899355e-03,1.763645955545100508e+00,1.044792756196058795e-03,4.999689090536750591e+00,3.136873932732462400e+00
2.561008981599899488e-03,1.751976912585881285e+00,-9.721996646494697730e-04,5.000057270523881492e+00,3.136866572715034440e+00
2.562008981599899621e-03,1.740337400297325754e+00,9.049926677569656869e-04,4.999691593474853590e+00,3.136879498855930315e+00
2.563008981599899754e-03,1.728727878187462430e+00,-8.422219081403622661e-04,5.000055980011272716e+00,3.136872401022610557e+00
2.564008981599899886e-03,1.717148804580339139e+00,7.841303767467904104e-04,4.999695189021196917e+00,3.136884939056282740e+00
2.565008981599900019e-03,1.705600636597948139e+00,-7.298433208359834164e-04,5.000053738033739315e+00,3.136878126160482783e+00
2.566008981599900152e-03,1.694083830142201430e+00,6.796269148795425815e-04,4.999699655239107088e+00,3.136890264669747186e+00
2.567008981599900284e-03,1.682598839876884522e+00,-6.326678967697080313e-04,5.000050748764294006e+00,3.136883754514914635e+00
2.568008981599900417e-03,1.671146119209760972e+00,5.892553725317989290e-04,4.999704805062988200e+00,3.136895485729868316e+00
2.569008981599900550e-03,1.659726120274625849e+00,-5.486266220685138625e-04,5.000047184156240831e+00,3.136889291768480081e+00
2.570008981599900683e-03,1.648339293913482884e+00,5.110927707047201955e-04,4.999710481143329055e+00,3.136900611603943734e+00
2.571008981599900815e-03,1.636986089658733157e+00,-4.759327970126769761e-04,5.000043188468342059e+00,3.136894743255308260e+00
2.572008981599900948e-03,1.625666955715453721e+00,4.434785288616413003e-04,4.999716551470244852e+00,3.136905650477749052e+00
2.573008981599901081e-03,1.614382338943658013e+00,-4.130434654787163177e-04,5.000038882381127259e+00,3.136900113911263777e+00
2.574008981599901213e-03,1.603132684840713473e+00,3.849786133637688053e-04,4.999722905842903131e+00,3.136910610117323195e+00
2.575008981599901346e-03,1.591918437523675678e+00,-3.586261277040719993e-04,5.000034366465375690e+00,3.136905408427151265e+00
2.576008981599901479e-03,1.580740039711839851e+00,3.343545801336383167e-04,4.999729452368886662e+00,3.136915497239282757e+00
2.577008981599901612e-03,1.569597932709217325e+00,-3.115299772249173114e-04,5.000029724269916542e+00,3.136910631044706133e+00
2.578008981599901744e-03,1.558492556387108152e+00,2.905368535467264465e-04,4.999736115051120144e+00,3.136920318268646035e+00
2.579008981599901877e-03,1.547424349166753643e+00,-2.707611055122289504e-04,5.000025024609143998e+00,3.136915785817019575e+00
2.580008981599902010e-03,1.536393748002017112e+00,2.526016743796162534e-04,4.999742831233894513e+00,3.136925078782641929e+00
2.581008981599902143e-03,1.525401188362157434e+00,-2.354610653028602746e-04,5.000020324101032365e+00,3.136920876537471425e+00
2.582008981599902275e-03,1.514447104214594830e+00,2.197511685415850027e-04,4.999749549607868104e+00,3.136929783896429846e+00
2.583008981599902408e-03,1.503531928007826979e+00,-2.048883758818785138e-04,5.000015668740005026e+00,3.136925906750286153e+00
2.584008981599902541e-03,1.492656090654314704e+00,1.912961712887251804e-04,4.999756228556389459e+00,3.136934438398695679e+00
